game_id,minute,player
799,47,Mastroeni
799,50,Wolff
799,53,Berhalter
800,28,Roberto Carlos
801,45,Toda
801,21,Alpay
801,44,ErgÃ¼n
802,17,Kim Tae-young
802,80,Song Jong-gook
802,99,Lee Chun-soo
802,115,Choi Jin-chul
802,4,Coco
802,22,Totti
802,55,Tommasi
802,59,Zanetti
803,75,Scholes
803,86,Ferdinand
804,66,Kehl
804,68,Jeremies
804,40,Lewis
804,41,Pope
804,68,Reyna
804,69,Mastroeni
805,53,De Pedro
805,111,Morientes
806,12,Daf
806,63,CissÃ©
806,22,Emre BelÃ¶zoÄlu
807,71,Ballack
807,85,Neuville
808,41,Gilberto Silva
808,59,Tugay
809,50,Tugay
809,83,RÃ¼ÅtÃ¼
810,6,Roque JÃºnior
