edition,round,score,team1,team2,venue,year
1930-URUGUAY,GROUP_STAGE,4-1 (3-0),France,Mexico (México),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-0 (2-0),USA,Belgium (België),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,2-1 (2-0),Yugoslavia (Југославија),Brazil (Brasil),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-1 (1-0),Romania (România),Peru (Perú),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (0-0),Argentina,France,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-0 (1-0),Chile,Mexico (México),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,4-0 (0-0),Yugoslavia (Југославија),Bolivia,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-0 (2-0),USA,Paraguay,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (0-0),Uruguay,Peru (Perú),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (0-0),Chile,France,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,6-3 (3-1),Argentina,Mexico (México),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,4-0 (1-0),Brazil (Brasil),Bolivia,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (1-0),Paraguay,Belgium (België),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,4-0 (4-0),Uruguay,Romania (România),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-1 (2-1),Argentina,Chile,Montevideo.,1930
1930-URUGUAY,1/2_FINAL,6-1 (1-0),Argentina,USA,Montevideo.,1930
1930-URUGUAY,1/2_FINAL,6-1 (3-1),Uruguay,Yugoslavia (Југославија),Montevideo.,1930
1930-URUGUAY,_FINAL,4-2 (1-2),Uruguay,Argentina,Montevideo.,1930
1934-ITALY,PRELIMINARY-Europe,6-2 (4-0),Sweden (Sverige),Estonia (Eesti),Stockholm.,1933
1934-ITALY,PRELIMINARY-Europe,0-2 (0-0),Lithuania (Lietuva),Sweden (Sverige),Kaunas.,1933
1934-ITALY,PRELIMINARY-Europe,2-2 (0-0),Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),Beograd.,1933
1934-ITALY,PRELIMINARY-Europe,1-2 (0-1),Poland (Polska),Czechoslovakia (Československo),Warszawa.,1933
1934-ITALY,PRELIMINARY-Europe,2-0 (w.o.),Switzerland (Schweiz / Suisse),Romania (România),Bern.,1933
1934-ITALY,PRELIMINARY-N/C.America,1-3 (0-1),Haiti (Haïti),Cuba,Port-au-Prince.,1934
1934-ITALY,PRELIMINARY-N/C.America,1-1 (0-0),Haiti (Haïti),Cuba,Port-au-Prince.,1934
1934-ITALY,PRELIMINARY-N/C.America,0-6 (0-3),Haiti (Haïti),Cuba,Port-au-Prince.,1934
1934-ITALY,PRELIMINARY-Europe,4-4 (1-2),Irish Free State (Saorstát Éireann),Belgium (België),Dublin.,1934
1934-ITALY,PRELIMINARY-N/C.America,3-2 (3-1),Mexico (México),Cuba,México D.F.,1934
1934-ITALY,PRELIMINARY-Europe,9-0 (3-0),Spain (España),Portugal,Madrid.,1934
1934-ITALY,PRELIMINARY-Europe,1-9 (1-5),Luxembourg (Lëtzebuerg),Germany (Deutschland),Luxembourg.,1934
1934-ITALY,PRELIMINARY-N/C.America,5-0 (3-0),Mexico (México),Cuba,México D.F.,1934
1934-ITALY,PRELIMINARY-N.E.,7-1 (4-0),Egypt (مصر),Palestine (فلسطين),Cairo.,1934
1934-ITALY,PRELIMINARY-Europe,1-2 (1-2),Portugal,Spain (España),Lisboa.,1934
1934-ITALY,PRELIMINARY-N/C.America,4-1 (2-1),Mexico (México),Cuba,México D.F.,1934
1934-ITALY,PRELIMINARY-Europe,4-0 (2-0),Italy (Italia),Greece (Ελλάδα),Milano.,1934
1934-ITALY,PRELIMINARY-Europe,1-4 (1-1),Bulgaria (България),Hungary (Magyarország),Sofija.,1934
1934-ITALY,PRELIMINARY-N.E.,1-4 (0-4),Palestine (فلسطين),Egypt (مصر),Jerusalem.,1934
1934-ITALY,PRELIMINARY-Europe,5-2 (1-1),Netherlands (Nederland),Irish Free State (Saorstát Éireann),Amsterdam.,1934
1934-ITALY,PRELIMINARY-Europe,1-6 (0-2),Luxembourg (Lëtzebuerg),France,Luxembourg.,1934
1934-ITALY,PRELIMINARY-Europe,6-1 (3-0),Austria (Österreich),Bulgaria (България),Wien.,1934
1934-ITALY,PRELIMINARY-Europe,4-1 (1-0),Hungary (Magyarország),Bulgaria (България),Budapest.,1934
1934-ITALY,PRELIMINARY-Europe,2-1 (1-0),Romania (România),Yugoslavia (Југославија),Bucureşti.,1934
1934-ITALY,PRELIMINARY-Europe,2-4 (0-0),Belgium (België),Netherlands (Nederland),Antwerpen.,1934
1934-ITALY,PRELIMINARY-N/C.America,4-2 (2-1),USA,Mexico (México),Roma.,1934
1934-ITALY,FIRST,7-1 (3-0),Italy (Italia),USA,Roma.,1934
1934-ITALY,FIRST,3-2 (1-1) (a.e.t.),Austria (Österreich),France,Torino.,1934
1934-ITALY,FIRST,5-2 (1-2),Germany (Deutschland),Belgium (België),Firenze.,1934
1934-ITALY,FIRST,2-1 (0-1),Czechoslovakia (Československo),Romania (România),Trieste.,1934
1934-ITALY,FIRST,3-2 (2-1),Switzerland (Schweiz / Suisse),Netherlands (Nederland),Milano.,1934
1934-ITALY,FIRST,3-2 (1-1),Sweden (Sverige),Argentina,Bologna.,1934
1934-ITALY,FIRST,3-1 (3-0),Spain (España),Brazil (Brasil),Genova.,1934
1934-ITALY,FIRST,4-2 (2-2),Hungary (Magyarország),Egypt (مصر),Napoli.,1934
1934-ITALY,1/4_FINAL,2-1 (1-0),Austria (Österreich),Hungary (Magyarország),Bologna.,1934
1934-ITALY,1/4_FINAL,3-2 (1-1),Czechoslovakia (Československo),Switzerland (Schweiz / Suisse),Torino.,1934
1934-ITALY,1/4_FINAL,2-1 (0-0),Germany (Deutschland),Sweden (Sverige),Milano.,1934
1934-ITALY,1/4_FINAL,1-1 (1-1) (a.e.t.),Italy (Italia),Spain (España),Firenze.,1934
1934-ITALY,1/4_FINAL,1-0 (1-0) (r.),Italy (Italia),Spain (España),Firenze.,1934
1934-ITALY,1/2_FINAL,1-0 (1-0),Italy (Italia),Austria (Österreich),Milano.,1934
1934-ITALY,1/2_FINAL,3-1 (1-0),Czechoslovakia (Československo),Germany (Deutschland),Roma.,1934
1934-ITALY,PLACES_3&4,3-2 (3-1),Germany (Deutschland),Austria (Österreich),Napoli.,1934
1934-ITALY,_FINAL,2-1 (0-0) (a.e.t.),Italy (Italia),Czechoslovakia (Československo),Roma.,1934
1938-FRANCE,PRELIMINARY-Europe,4-0 (0-0),Sweden (Sverige),Finland (Suomi),Stockholm.,1937
1938-FRANCE,PRELIMINARY-Europe,7-2 (3-2),Sweden (Sverige),Estonia (Eesti),Stockholm.,1937
1938-FRANCE,PRELIMINARY-Europe,0-2 (0-2),Finland (Suomi),Germany (Deutschland),Helsinki.,1937
1938-FRANCE,PRELIMINARY-Europe,4-2 (2-0),Latvia (Latvija),Lithuania (Lietuva),Rīga.,1937
1938-FRANCE,PRELIMINARY-Europe,0-1 (0-0),Finland (Suomi),Estonia (Eesti),Turku.,1937
1938-FRANCE,PRELIMINARY-Europe,4-1 (0-1),Germany (Deutschland),Estonia (Eesti),Königsberg.,1937
1938-FRANCE,PRELIMINARY-Europe,1-5 (0-4),Lithuania (Lietuva),Latvia (Latvija),Kaunas.,1937
1938-FRANCE,PRELIMINARY-Europe,2-1 (2-1),Austria (Österreich),Latvia (Latvija),Wien.,1937
1938-FRANCE,PRELIMINARY-Europe,3-2 (2-1),Norway (Norge),Irish Free State (Saorstát Éireann),Oslo.,1937
1938-FRANCE,PRELIMINARY-Europe,4-0 (2-0),Poland (Polska),Yugoslavia (Југославија),Warszawa.,1937
1938-FRANCE,PRELIMINARY-Europe,3-3 (1-2),Irish Free State (Saorstát Éireann),Norway (Norge),Dublin.,1937
1938-FRANCE,PRELIMINARY-Europe,1-1 (0-1),Bulgaria (България),Czechoslovakia (Československo),Sofija.,1937
1938-FRANCE,PRELIMINARY-Europe,5-0 (2-0),Germany (Deutschland),Sweden (Sverige),Hamburg.,1937
1938-FRANCE,PRELIMINARY-Europe,4-0 (1-0),Netherlands (Nederland),Luxembourg (Lëtzebuerg),Rotterdam.,1937
1938-FRANCE,PRELIMINARY-Eur./N.E.,1-3 (1-2),Palestine (فلسطين),Greece (Ελλάδα),Tel Aviv.,1938
1938-FRANCE,PRELIMINARY-Eur./N.E.,1-0 (0-0),Greece (Ελλάδα),Palestine (فلسطين),Athína.,1938
1938-FRANCE,PRELIMINARY-Europe,2-3 (2-1),Luxembourg (Lëtzebuerg),Belgium (België),Luxembourg.,1938
1938-FRANCE,PRELIMINARY-Eur./N.E.,11-1 (7-1),Hungary (Magyarország),Greece (Ελλάδα),Budapest.,1938
1938-FRANCE,PRELIMINARY-Europe,1-0 (0-0),Yugoslavia (Југославија),Poland (Polska),Beograd.,1938
1938-FRANCE,PRELIMINARY-Europe,1-1 (0-1),Belgium (België),Netherlands (Nederland),Antwerpen.,1938
1938-FRANCE,PRELIMINARY-Europe,6-0 (1-0),Czechoslovakia (Československo),Bulgaria (България),Praha.,1938
1938-FRANCE,PRELIMINARY-Europe,2-1 (2-0),Switzerland (Schweiz / Suisse),Portugal,Milano.,1938
1938-FRANCE,FIRST,1-1 (1-1) (a.e.t.),Switzerland (Schweiz / Suisse),Germany (Deutschland),Paris.,1938
1938-FRANCE,FIRST,2-1 (1-0) (a.e.t.),Italy (Italia),Norway (Norge),Marseille.,1938
1938-FRANCE,FIRST,3-1 (2-1),France,Belgium (België),Paris.,1938
1938-FRANCE,FIRST,6-0 (4-0),Hungary (Magyarország),Dutch East Indies (Nederlands-Indië),Reims.,1938
1938-FRANCE,FIRST,3-3 (1-1) (a.e.t.),Cuba,Romania (România),Toulouse.,1938
1938-FRANCE,FIRST,6-5 (3-1) (a.e.t.),Brazil (Brasil),Poland (Polska),Strasbourg.,1938
1938-FRANCE,FIRST,3-0 (0-0) (a.e.t.),Czechoslovakia (Československo),Netherlands (Nederland),Le_Havre.,1938
1938-FRANCE,FIRST,4-2 (1-2) (r.),Switzerland (Schweiz / Suisse),Germany (Deutschland),Paris.,1938
1938-FRANCE,FIRST,2-1 (0-1) (r.),Cuba,Romania (România),Toulouse.,1938
1938-FRANCE,1/4_FINAL,3-1 (1-1),Italy (Italia),France,Paris.,1938
1938-FRANCE,1/4_FINAL,1-1 (1-0) (a.e.t.),Brazil (Brasil),Czechoslovakia (Československo),Bordeaux.,1938
1938-FRANCE,1/4_FINAL,2-0 (1-0),Hungary (Magyarország),Switzerland (Schweiz / Suisse),Lille.,1938
1938-FRANCE,1/4_FINAL,8-0 (4-0),Sweden (Sverige),Cuba,Antibes.,1938
1938-FRANCE,1/4_FINAL,2-1 (0-1) (r.),Brazil (Brasil),Czechoslovakia (Československo),Bordeaux.,1938
1938-FRANCE,1/2_FINAL,2-1 (0-0),Italy (Italia),Brazil (Brasil),Marseille.,1938
1938-FRANCE,1/2_FINAL,5-1 (3-1),Hungary (Magyarország),Sweden (Sverige),Paris.,1938
1938-FRANCE,PLACES_3&4,4-2 (1-2),Brazil (Brasil),Sweden (Sverige),Bordeaux.,1938
1938-FRANCE,_FINAL,4-2 (3-1),Italy (Italia),Hungary (Magyarország),Paris.,1938
1950-BRAZIL,PRELIMINARY-Europe,3-1 (2-1),Sweden (Sverige),Ireland (Éire),Stockholm.,1949
1950-BRAZIL,PRELIMINARY-Europe,5-2 (3-1),Switzerland (Schweiz / Suisse),Luxembourg (Lëtzebuerg),Zürich.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,6-0 (4-0),Yugoslavia (Југославија),Israel (ישראל),Beograd.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,0-6 (0-3),USA,Mexico (México),México D.F.,1949
1950-BRAZIL,PRELIMINARY-Europe,3-0 (2-0),Ireland (Éire),Finland (Suomi),Dublin.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,2-0 (1-0),Mexico (México),Cuba,México D.F.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,1-1 (1-1),Cuba,USA,México D.F.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,2-5 (0-3),Israel (ישראל),Yugoslavia (Југославија),Tel Aviv.,1949
1950-BRAZIL,PRELIMINARY-Europe,2-3 (2-1),Luxembourg (Lëtzebuerg),Switzerland (Schweiz / Suisse),Luxembourg.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,6-2 (3-0),Mexico (México),USA,México D.F.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,5-2 (4-1),USA,Cuba,México D.F.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,0-3 (0-1),Cuba,Mexico (México),México D.F.,1949
1950-BRAZIL,PRELIMINARY-Europe,2-8 (0-5),Northern Ireland (Ulster),Scotland,Belfast.,1949
1950-BRAZIL,PRELIMINARY-Europe,8-1 (5-1),Sweden (Sverige),Finland (Suomi),Malmö.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,1-1 (1-0),Yugoslavia (Југославија),France,Beograd.,1949
1950-BRAZIL,PRELIMINARY-Europe,1-1 (0-0),Finland (Suomi),Ireland (Éire),Helsinki.,1949
1950-BRAZIL,PRELIMINARY-Europe,1-4 (0-3),Wales (Cymru),England,Cardiff.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,1-1 (1-1),France,Yugoslavia (Југославија),Paris.,1949
1950-BRAZIL,PRELIMINARY-Europe,2-0 (1-0),Scotland,Wales (Cymru),Glasgow.,1949
1950-BRAZIL,PRELIMINARY-Europe,1-3 (0-2),Ireland (Éire),Sweden (Sverige),Dublin.,1949
1950-BRAZIL,PRELIMINARY-Europe,9-2 (4-0),England,Northern Ireland (Ulster),Manchester.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,7-0 (3-0),Turkey (Türkiye),Syria (سوريا),Ankara.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,3-2 (1-1),Yugoslavia (Југославија),France,Firenze.,1949
1950-BRAZIL,PRELIMINARY-S.America,2-0 (0-0),Bolivia,Chile,La_Paz.,1950
1950-BRAZIL,PRELIMINARY-Europe,0-0 (0-0),Wales (Cymru),Northern Ireland (Ulster),Wrexham.,1950
1950-BRAZIL,PRELIMINARY-Europe,5-1 (3-1),Spain (España),Portugal,Madrid.,1950
1950-BRAZIL,PRELIMINARY-Europe,2-2 (0-1),Portugal,Spain (España),Lisboa.,1950
1950-BRAZIL,PRELIMINARY-Europe,0-1 (0-0),Scotland,England,Glasgow.,1950
1950-BRAZIL,GROUP_STAGE,4-0 (1-0),Brazil (Brasil),Mexico (México),Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,2-0 (1-0),England,Chile,Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,3-1 (0-1),Spain (España),USA,Curitiba.,1950
1950-BRAZIL,GROUP_STAGE,3-2 (2-1),Sweden (Sverige),Italy (Italia),São_Paulo.,1950
1950-BRAZIL,GROUP_STAGE,3-0 (0-0),Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),Belo Horizonte.,1950
1950-BRAZIL,GROUP_STAGE,2-2 (2-1),Brazil (Brasil),Switzerland (Schweiz / Suisse),São_Paulo.,1950
1950-BRAZIL,GROUP_STAGE,4-1 (2-0),Yugoslavia (Југославија),Mexico (México),Porto_Alegre.,1950
1950-BRAZIL,GROUP_STAGE,2-0 (2-0),Spain (España),Chile,Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,2-2 (2-1),Sweden (Sverige),Paraguay,Curitiba.,1950
1950-BRAZIL,GROUP_STAGE,1-0 (1-0),USA,England,Belo Horizonte.,1950
1950-BRAZIL,GROUP_STAGE,2-0 (1-0),Brazil (Brasil),Yugoslavia (Југославија),Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,1-0 (0-0),Spain (España),England,Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,2-0 (1-0),Italy (Italia),Paraguay,São_Paulo.,1950
1950-BRAZIL,GROUP_STAGE,8-0 (4-0),Uruguay,Bolivia,Belo Horizonte.,1950
1950-BRAZIL,GROUP_STAGE,2-1 (2-0),Switzerland (Schweiz / Suisse),Mexico (México),Porto_Alegre.,1950
1950-BRAZIL,GROUP_STAGE,5-2 (2-0),Chile,USA,Recife.,1950
1950-BRAZIL,FINAL_ROUND,7-1 (3-0),Brazil (Brasil),Sweden (Sverige),Rio de Janeiro.,1950
1950-BRAZIL,FINAL_ROUND,2-2 (1-2),Uruguay,Spain (España),São_Paulo.,1950
1950-BRAZIL,FINAL_ROUND,3-2 (1-2),Uruguay,Sweden (Sverige),São_Paulo.,1950
1950-BRAZIL,FINAL_ROUND,6-1 (3-0),Brazil (Brasil),Spain (España),Rio de Janeiro.,1950
1950-BRAZIL,FINAL_ROUND,3-1 (2-0),Sweden (Sverige),Spain (España),São_Paulo.,1950
1950-BRAZIL,FINAL_ROUND,2-1 (0-0),Uruguay,Brazil (Brasil),Rio de Janeiro.,1950
1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1-0 (1-0),Yugoslavia (Југославија),Greece (Ελλάδα),Beograd.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-4 (0-3),Finland (Suomi),Belgium (België),Helsinki.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-3 (2-3),Sweden (Sverige),Belgium (België),Stockholm.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-0 (0-0),Czechoslovakia (Československo),Romania (România),Praha.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-3 (2-2),Norway (Norge),Saarland,Oslo.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,3-1 (2-0),Romania (România),Bulgaria (България),Bucureşti.,1953
1954-SWITZERLAND,PRELIMINARY-N/C.America,8-0 (5-0),Mexico (México),Haiti (Haïti),México D.F.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,3-3 (0-2),Finland (Suomi),Sweden (Sverige),Helsinki.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,4-0 (2-0),Sweden (Sverige),Finland (Suomi),Stockholm.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,1-1 (1-1),Norway (Norge),FRG (BRD / Westdeutschland),Oslo.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,1-2 (0-2),Bulgaria (България),Czechoslovakia (Československo),Sofija.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,1-6 (1-4),Luxembourg (Lëtzebuerg),France,Luxembourg.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-2 (2-0),Belgium (België),Finland (Suomi),Bruxelles.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,9-1 (4-0),Austria (Österreich),Portugal,Wien.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,1-3 (0-0),Northern Ireland (Ulster),Scotland,Belfast.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,3-5 (0-2),Ireland (Éire),France,Dublin.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-0 (1-0),Belgium (België),Sweden (Sverige),Bruxelles.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,1-4 (1-1),Wales (Cymru),England,Cardiff.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,3-0 (1-0),FRG (BRD / Westdeutschland),Saarland,Stuttgart.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,1-2 (1-1),Bulgaria (България),Romania (România),Sofija.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,0-1 (0-1),Romania (România),Czechoslovakia (Československo),Bucureşti.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,4-0 (1-0),Ireland (Éire),Luxembourg (Lëtzebuerg),Dublin.,1953
1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1-0 (0-0),Greece (Ελλάδα),Israel (ישראל),Athína.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,3-3 (2-0),Scotland,Wales (Cymru),Glasgow.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,0-0 (0-0),Saarland,Norway (Norge),Saarbrücken.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,0-0 (0-0),Czechoslovakia (Československo),Bulgaria (България),Bratislava.,1953
1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1-0 (1-0),Yugoslavia (Југославија),Israel (ישראל),Skopje.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,3-1 (1-0),England,Northern Ireland (Ulster),Liverpool.,1953
1954-SWITZERLAND,PRELIMINARY-Eu./Afr.,1-2 (1-0),Egypt (مصر),Italy (Italia),Cairo.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,5-1 (1-1),FRG (BRD / Westdeutschland),Norway (Norge),Hamburg.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,1-0 (0-0),France,Ireland (Éire),Paris.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,0-0 (0-0),Portugal,Austria (Österreich),Lisboa.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,8-0 (4-0),France,Luxembourg (Lëtzebuerg),Paris.,1953
1954-SWITZERLAND,PRELIMINARY-N/C.America,0-4 (0-2),Haiti (Haïti),Mexico (México),Port-au-Prince.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,4-1 (1-1),Spain (España),Turkey (Türkiye),Madrid.,1954
1954-SWITZERLAND,PRELIMINARY-N/C.America,0-4 (0-2),USA,Mexico (México),México D.F.,1954
1954-SWITZERLAND,PRELIMINARY-N/C.America,3-1 (0-1),Mexico (México),USA,México D.F.,1954
1954-SWITZERLAND,PRELIMINARY-Eu./Afr.,5-1 (1-1),Italy (Italia),Egypt (مصر),Milano.,1954
1954-SWITZERLAND,PRELIMINARY-S.America,4-0 (1-0),Paraguay,Chile,Asunción.,1954
1954-SWITZERLAND,PRELIMINARY-S.America,1-3 (1-1),Chile,Paraguay,Santiago.,1954
1954-SWITZERLAND,PRELIMINARY-S.America,0-2 (0-1),Chile,Brazil (Brasil),Santiago.,1954
1954-SWITZERLAND,PRELIMINARY-Europe,0-1 (0-0),Luxembourg (Lëtzebuerg),Ireland (Éire),Luxembourg.,1954
1954-SWITZERLAND,PRELIMINARY-S.America,0-1 (0-0),Paraguay,Brazil (Brasil),Asunción.,1954
1954-SWITZERLAND,PRELIMINARY-Asia,1-5 (1-2),Japan (日本),South Korea (한국),Tokyo.,1954
1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,0-2 (0-0),Israel (ישראל),Greece (Ελλάδα),Tel Aviv.,1954
1954-SWITZERLAND,PRELIMINARY-Europe,1-0 (1-0),Turkey (Türkiye),Spain (España),İstanbul.,1954
1954-SWITZERLAND,PRELIMINARY-S.America,1-0 (1-0),Brazil (Brasil),Chile,Rio de Janeiro.,1954
1954-SWITZERLAND,PRELIMINARY-Asia,2-2 (2-1),South Korea (한국),Japan (日本),Tokyo.,1954
1954-SWITZERLAND,PRELIMINARY-Europe,2-2 (1-1),Turkey (Türkiye),Spain (España),Roma.,1954
1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,0-1 (0-0),Israel (ישראל),Yugoslavia (Југославија),Tel Aviv.,1954
1954-SWITZERLAND,PRELIMINARY-S.America,4-1 (0-0),Brazil (Brasil),Paraguay,Rio de Janeiro.,1954
1954-SWITZERLAND,PRELIMINARY-Europe,1-3 (0-1),Saarland,FRG (BRD / Westdeutschland),Saarbrücken.,1954
1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,0-1 (0-0),Greece (Ελλάδα),Yugoslavia (Југославија),Athína.,1954
1954-SWITZERLAND,PRELIMINARY-Europe,1-2 (0-1),Wales (Cymru),Northern Ireland (Ulster),Wrexham.,1954
1954-SWITZERLAND,PRELIMINARY-Europe,2-4 (1-1),Scotland,England,Glasgow.,1954
1954-SWITZERLAND,PRELIMINARY-N/C.America,2-3 (0-1),Haiti (Haïti),USA,Port-au-Prince.,1954
1954-SWITZERLAND,PRELIMINARY-N/C.America,3-0 (2-0),USA,Haiti (Haïti),Port-au-Prince.,1954
1954-SWITZERLAND,GROUP_STAGE,1-0 (1-0),Yugoslavia (Југославија),France,Lausanne.,1954
1954-SWITZERLAND,GROUP_STAGE,5-0 (4-0),Brazil (Brasil),Mexico (México),Genève.,1954
1954-SWITZERLAND,GROUP_STAGE,1-0 (1-0),Austria (Österreich),Scotland,Zürich.,1954
1954-SWITZERLAND,GROUP_STAGE,2-0 (0-0),Uruguay,Czechoslovakia (Československo),Bern.,1954
1954-SWITZERLAND,GROUP_STAGE,2-1 (1-1),Switzerland (Schweiz / Suisse),Italy (Italia),Lausanne.,1954
1954-SWITZERLAND,GROUP_STAGE,9-0 (4-0),Hungary (Magyarország),South Korea (한국),Zürich.,1954
1954-SWITZERLAND,GROUP_STAGE,4-1 (1-1),FRG (BRD / Westdeutschland),Turkey (Türkiye),Bern.,1954
1954-SWITZERLAND,GROUP_STAGE,4-4 (2-1) (a.e.t.),England,Belgium (België),Basel.,1954
1954-SWITZERLAND,GROUP_STAGE,7-0 (2-0),Uruguay,Scotland,Basel.,1954
1954-SWITZERLAND,GROUP_STAGE,1-1 (0-0) (a.e.t.),Brazil (Brasil),Yugoslavia (Југославија),Lausanne.,1954
1954-SWITZERLAND,GROUP_STAGE,5-0 (4-0),Austria (Österreich),Czechoslovakia (Československo),Zürich.,1954
1954-SWITZERLAND,GROUP_STAGE,3-2 (1-0),France,Mexico (México),Genève.,1954
1954-SWITZERLAND,GROUP_STAGE,8-3 (3-1),Hungary (Magyarország),FRG (BRD / Westdeutschland),Basel.,1954
1954-SWITZERLAND,GROUP_STAGE,7-0 (4-0),Turkey (Türkiye),South Korea (한국),Genève.,1954
1954-SWITZERLAND,GROUP_STAGE,4-1 (1-0),Italy (Italia),Belgium (België),Lugano.,1954
1954-SWITZERLAND,GROUP_STAGE,2-0 (1-0),England,Switzerland (Schweiz / Suisse),Bern.,1954
1954-SWITZERLAND,GROUP_STAGE,7-2 (3-1) (r.),FRG (BRD / Westdeutschland),Turkey (Türkiye),Zürich.,1954
1954-SWITZERLAND,GROUP_STAGE,4-1 (1-0) (r.),Switzerland (Schweiz / Suisse),Italy (Italia),Basel.,1954
1954-SWITZERLAND,1/4_FINAL,4-2 (2-1),Uruguay,England,Basel.,1954
1954-SWITZERLAND,1/4_FINAL,7-5 (5-4),Austria (Österreich),Switzerland (Schweiz / Suisse),Lausanne.,1954
1954-SWITZERLAND,1/4_FINAL,4-2 (2-1),Hungary (Magyarország),Brazil (Brasil),Bern.,1954
1954-SWITZERLAND,1/4_FINAL,2-0 (1-0),FRG (BRD / Westdeutschland),Yugoslavia (Југославија),Genève.,1954
1954-SWITZERLAND,1/2_FINAL,4-2 (1-0) (a.e.t.),Hungary (Magyarország),Uruguay,Lausanne.,1954
1954-SWITZERLAND,1/2_FINAL,6-1 (1-0),FRG (BRD / Westdeutschland),Austria (Österreich),Basel.,1954
1954-SWITZERLAND,PLACES_3&4,3-1 (1-1),Austria (Österreich),Uruguay,Zürich.,1954
1954-SWITZERLAND,_FINAL,3-2 (2-2),FRG (BRD / Westdeutschland),Hungary (Magyarország),Bern.,1954
1958-SWEDEN,PRELIMINARY-Europe,7-0 (2-0),Austria (Österreich),Luxembourg (Lëtzebuerg),Wien.,1956
1958-SWEDEN,PRELIMINARY-Europe,2-1 (2-0),Ireland (Éire),Denmark (Danmark),Dublin.,1956
1958-SWEDEN,PRELIMINARY-Europe,6-3 (4-1),France,Belgium (België),Paris.,1956
1958-SWEDEN,PRELIMINARY-Europe,5-2 (2-1),England,Denmark (Danmark),Wolverhampton.,1956
