,Attendance,Cautions1,Cautions2,Corner Kicks1,Corner Kicks2,Country1,Country2,Date,Direct Free Kicks1,Direct Free Kicks2,Edition,Explusions1,Explusions2,Fouls1,Fouls2,Indirect Free Kicks1,Match,MatchID,Offsides1,Offsides2,On Goal1,On Goal2,Penalty Kicks1,Penalty Kicks2,Result,RoundID,Second Cautions1,Second Cautions2,Shots1,Shots2,Stage,TeamID1,TeamID2,Time,Venue,indirect Free Kicks2
31,40123,1,0,6,4,USA,POR,22 Jun 2014,18,12,brazil2014,0,0,11,14,0,Match 30,300186483,1,4,10,9,0,0,2:2,255931,0,0,15,20,Group G,43921,43963, 18:00,Manaus ,0
32,39375,2,1,2,6,AUS,ESP,23 Jun 2014,15,15,brazil2014,0,0,14,9,0,Match 35,300186467,1,6,0,8,0,0,0:3,255931,0,0,4,11,Group B,43976,43969, 13:00,Curitiba ,0
33,62996,1,1,2,7,NED,CHI,23 Jun 2014,16,27,brazil2014,0,0,,,0,Match 36,300186470,1,2,,,,,,255931,0,0,,,Group B,43960,43925, 13:00,Sao Paulo ,0
34,69112,3,0,6,7,CMR,BRA,23 Jun 2014,22,15,brazil2014,0,0,14,19,0,Match 33,300186472,1,3,6,18,0,0,1:4,255931,0,0,12,19,Group A,43849,43924, 17:00,Brasilia ,0
35,41212,1,2,7,9,CRO,MEX,23 Jun 2014,13,19,brazil2014,1,0,18,12,0,Match 34,300186452,1,1,5,7,0,0,1:3,255931,0,0,10,12,Group A,43938,43911, 17:00,Recife ,0
36,39706,2,2,3,3,ITA,URU,24 Jun 2014,21,22,brazil2014,1,0,19,20,0,Match 39,300186465,3,1,5,9,0,0,0:1,255931,0,0,9,14,Group D,43954,43930, 13:00,Natal ,0
37,57823,1,2,3,7,CRC,ENG,24 Jun 2014,18,20,brazil2014,0,0,17,17,0,Match 40,300186484,3,1,3,3,0,0,0:0,255931,0,0,4,8,Group D,43901,43942, 13:00,Belo Horizonte ,0
38,40340,1,1,9,2,JPN,COL,24 Jun 2014,21,10,brazil2014,0,0,10,19,0,Match 37,300186457,0,2,13,9,0,1,1:4,255931,0,0,23,13,Group C,43819,43926, 16:00,Cuiaba ,0
39,59095,0,3,4,7,GRE,CIV,24 Jun 2014,24,14,brazil2014,0,0,13,23,0,Match 38,300186455,1,1,5,9,1,0,2:1,255931,0,0,13,13,Group C,43949,43854, 17:00,Fortaleza ,0
40,43285,2,0,4,12,NGA,ARG,25 Jun 2014,7,18,brazil2014,0,0,17,6,0,Match 43,300186458,1,1,7,13,0,0,2:3,255931,0,0,12,18,Group F,43876,43922, 13:00,Porto Alegre ,0
41,48011,1,1,6,5,BIH,IRN,25 Jun 2014,25,21,brazil2014,0,0,20,17,0,Match 44,300186464,1,8,8,5,0,0,3:1,255931,0,0,13,7,Group F,44037,43817, 13:00,Salvador ,0
42,40322,1,0,8,1,HON,SUI,25 Jun 2014,20,17,brazil2014,0,0,17,18,0,Match 41,300186482,0,2,6,13,0,0,0:3,255931,0,0,13,16,Group E,43909,43971, 16:00,Manaus ,0
43,73749,1,0,1,7,ECU,FRA,25 Jun 2014,7,18,brazil2014,1,0,17,6,0,Match 42,300186515,1,1,7,13,0,0,0:0,255931,0,0,11,20,Group E,43927,43946, 17:00,Rio De Janeiro ,0
44,41876,2,1,2,3,USA,GER,26 Jun 2014,16,17,brazil2014,0,0,15,9,0,Match 45,300186469,2,7,1,9,0,0,0:1,255931,0,0,4,13,Group G,43921,43948, 13:00,Recife ,0
45,67540,1,3,7,4,POR,GHA,26 Jun 2014,20,21,brazil2014,0,0,21,16,0,Match 46,300186476,0,4,10,6,0,0,1:1,255931,0,0,19,18,Group G,43963,43860, 13:00,Brasilia ,0
46,61397,1,1,7,4,KOR,BEL,26 Jun 2014,15,17,brazil2014,0,1,16,11,0,Match 47,300186480,1,4,12,10,0,0,0:1,255931,0,0,18,15,Group H,43822,43935, 17:00,Sao Paulo ,0
47,39311,3,2,3,4,ALG,RUS,26 Jun 2014,17,17,brazil2014,0,0,15,13,0,Match 48,300186506,2,3,6,7,0,0,1:1,255931,0,0,8,11,Group H,43843,43965, 17:00,Curitiba ,0
48,57714,4,3,9,5,BRA,CHI,28 Jun 2014,26,30,brazil2014,0,0,28,23,0,Match 49,300186487,2,3,13,5,0,0,1:1,255951,0,0,23,13,Round of 16,43924,43925, 13:00,Belo Horizonte ,0
49,73804,1,2,3,5,COL,URU,28 Jun 2014,18,20,brazil2014,0,0,19,17,0,Match 50,300186491,1,1,8,9,0,0,2:0,255951,0,0,10,16,Round of 16,43926,43930, 17:00,Rio De Janeiro ,0
50,58817,0,3,10,2,NED,MEX,29 Jun 2014,13,9,brazil2014,0,0,8,12,0,Match 51,300186508,1,1,8,7,1,0,2:1,255951,0,0,14,12,Round of 16,43960,43911, 13:00,Fortaleza ,0
51,41242,4,2,3,11,CRC,GRE,29 Jun 2014,26,23,brazil2014,0,0,23,16,0,Match 52,300186459,1,10,2,13,0,0,1:1,255951,1,0,6,24,Round of 16,43901,43949, 17:00,Recife ,0
52,67882,1,0,12,9,FRA,NGA,30 Jun 2014,17,15,brazil2014,0,0,12,15,0,Match 53,300186462,3,2,9,6,0,0,1:0,255951,0,0,15,8,Round of 16,43946,43876, 13:00,Brasilia ,0
53,,1,1,10,4,GER,ALG,30 Jun 2014,24,15,brazil2014,0,0,8,18,0,Match 54,300186460,4,4,16,4,0,0,2:1,255951,0,0,22,7,Round of 16,43948,43843, 17:00,Porto Alegre ,0
54,63255,3,2,13,5,ARG,SUI,01 Jul 2014,29,19,brazil2014,0,0,19,28,0,Match 55,300186503,0,1,22,7,0,0,1:0,255951,0,0,29,14,Round of 16,43922,43971, 13:00,Sao Paulo ,0
55,51227,1,1,19,4,BEL,USA,01 Jul 2014,11,29,brazil2014,0,0,27,11,0,Match 56,300186497,2,0,27,9,0,0,2:1,255951,0,0,38,15,Round of 16,43935,43921, 17:00,Salvador ,0
56,74240,0,2,5,3,FRA,GER,04 Jul 2014,18,18,brazil2014,0,0,15,18,0,Match 58,300186485,3,0,9,6,0,0,0:1,255953,0,0,13,8,Quarter-finals,43946,43948, 13:00,Rio De Janeiro ,0
57,60342,2,2,4,6,BRA,COL,04 Jul 2014,26,31,brazil2014,0,0,31,23,0,Match 57,300186461,0,3,6,5,0,1,2:1,255953,0,0,12,11,Quarter-finals,43924,43926, 17:00,Fortaleza ,0
58,68551,1,2,3,4,ARG,BEL,05 Jul 2014,20,12,brazil2014,0,0,11,14,0,Match 60,300186504,1,6,7,4,0,0,1:0,255953,0,0,10,10,Quarter-finals,43922,43935, 13:00,Brasilia ,0
59,51179,2,4,11,1,NED,CRC,05 Jul 2014,15,28,brazil2014,0,0,15,13,0,Match 59,300186488,13,2,15,3,0,0,0:0,255953,0,0,20,6,Quarter-finals,43960,43901, 17:00,Salvador ,0
60,58141,1,0,7,5,BRA,GER,08 Jul 2014,14,14,brazil2014,0,0,11,14,0,Match 61,300186474,3,0,13,12,0,0,1:7,255955,0,0,18,14,Semi-finals,43924,43948, 17:00,Belo Horizonte ,0
61,63267,2,1,4,4,NED,ARG,09 Jul 2014,14,19,brazil2014,0,0,15,10,0,Match 62,300186490,4,4,3,5,0,0,0:0,255955,0,0,7,8,Semi-finals,43960,43922, 17:00,Sao Paulo ,0
62,68034,3,2,4,1,BRA,NED,12 Jul 2014,22,17,brazil2014,0,0,16,20,0,Match 63,300186502,1,2,5,5,0,1,0:3,255957,0,0,11,8,Play-off for third place,43924,43960, 17:00,Brasilia ,0
63,74738,2,2,5,3,GER,ARG,13 Jul 2014,18,23,brazil2014,0,0,,,0,Match 64,300186501,3,2,,,,,,255959,0,0,,,Final,43948,43922, 16:00,Rio De Janeiro ,0
64,74738,2,2,5,3,GER,ARG,13 Jul 2014,18,23,brazil2014,0,0,,,0,Match 64,300186501,3,2,,,,,,255959,0,0,,,Final,43948,43922, 16:00,Rio De Janeiro ,0
65,84490,,,0,0,RSA,MEX,11 Jun 2010,,,southafrica2010,,,,,,Match 1,300061454,,,,,,,,249722,,,,,Group A,43883,43911, 16:00,Johannesburg ,
66,3064100,,,0,0,URU,FRA,11 Jun 2010,,,southafrica2010,,,,,,Match 2,300061453,,,,,,,,249722,,,,,Group A,43930,43946, 20:30,Cape Town ,
67,3031513,,,0,0,KOR,GRE,12 Jun 2010,,,southafrica2010,,,,,,Match 4,300061459,,,,,,,,249722,,,,,Group B,43822,43949, 13:30,Nelson Mandela Bay/Port Elizabeth ,
68,55686,,,0,0,ARG,NGA,12 Jun 2010,,,southafrica2010,,,,,,Match 3,300061460,,,,,,,,249722,,,,,Group B,43922,43876, 16:00,Johannesburg ,
69,3038646,,,0,0,ENG,USA,12 Jun 2010,,,southafrica2010,,,,,,Match 5,300061466,,,,,,,,249722,,,,,Group C,43942,43921, 20:30,Phokeng ,
70,3030325,,,0,0,ALG,SVN,13 Jun 2010,,,southafrica2010,,,,,,Match 6,300061465,,,,,,,,249722,,,,,Group C,43843,43968, 13:30,Polokwane ,
71,38833,,,0,0,SRB,GHA,13 Jun 2010,,,southafrica2010,,,,,,Match 8,300061471,,,,,,,,249722,,,,,Group D,1902465,43860, 16:00,Tshwane/Pretoria ,
72,3062660,,,0,0,GER,AUS,13 Jun 2010,,,southafrica2010,,,,,,Match 7,300111116,,,,,,,,249722,,,,,Group D,43948,43976, 20:30,Durban ,
73,3083465,,,0,0,NED,DEN,14 Jun 2010,,,southafrica2010,,,,,,Match 9,300061478,,,,,,,,249722,,,,,Group E,43960,43941, 13:30,Johannesburg ,
74,30620,,,0,0,JPN,CMR,14 Jun 2010,,,southafrica2010,,,,,,Match 10,300061477,,,,,,,,249722,,,,,Group E,43819,43849, 16:00,Mangaung/Bloemfontein ,
75,3062869,,,0,0,ITA,PAR,14 Jun 2010,,,southafrica2010,,,,,,Match 11,300061484,,,,,,,,249722,,,,,Group F,43954,43928, 20:30,Cape Town ,
76,3023871,,,0,0,NZL,SVK,15 Jun 2010,,,southafrica2010,,,,,,Match 12,300061483,,,,,,,,249722,,,,,Group F,43978,44002, 13:30,Phokeng ,
77,37034,,,0,0,CIV,POR,15 Jun 2010,,,southafrica2010,,,,,,Match 13,300061489,,,,,,,,249722,,,,,Group G,43854,43963, 16:00,Nelson Mandela Bay/Port Elizabeth ,
78,3054331,,,0,0,BRA,PRK,15 Jun 2010,,,southafrica2010,,,,,,Match 14,300061490,,,,,,,,249722,,,,,Group G,43924,43821, 20:30,Johannesburg ,
79,3032664,,,0,0,HON,CHI,16 Jun 2010,,,southafrica2010,,,,,,Match 15,300061495,,,,,,,,249722,,,,,Group H,43909,43925, 13:30,Nelspruit ,
80,62453,,,0,0,ESP,SUI,16 Jun 2010,,,southafrica2010,,,,,,Match 16,300111112,,,,,,,,249722,,,,,Group H,43969,43971, 16:00,Durban ,
81,3042658,,,0,0,RSA,URU,16 Jun 2010,,,southafrica2010,,,,,,Match 17,300061452,,,,,,,,249722,,,,,Group A,43883,43930, 20:30,Tshwane/Pretoria ,
82,3082174,,,0,0,ARG,KOR,17 Jun 2010,,,southafrica2010,,,,,,Match 20,300061458,,,,,,,,249722,,,,,Group B,43922,43822, 13:30,Johannesburg ,
83,31593,,,0,0,GRE,NGA,17 Jun 2010,,,southafrica2010,,,,,,Match 19,300061457,,,,,,,,249722,,,,,Group B,43949,43876, 16:00,Mangaung/Bloemfontein ,
84,3035370,,,0,0,FRA,MEX,17 Jun 2010,,,southafrica2010,,,,,,Match 18,300061451,,,,,,,,249722,,,,,Group A,43946,43911, 20:30,Polokwane ,
85,3038294,,,0,0,GER,SRB,18 Jun 2010,,,southafrica2010,,,,,,Match 21,300061470,,,,,,,,249722,,,,,Group D,43948,1902465, 13:30,Nelson Mandela Bay/Port Elizabeth ,
86,45573,,,0,0,SVN,USA,18 Jun 2010,,,southafrica2010,,,,,,Match 22,300061463,,,,,,,,249722,,,,,Group C,43968,43921, 16:00,Johannesburg ,
87,3064100,,,0,0,ENG,ALG,18 Jun 2010,,,southafrica2010,,,,,,Match 23,300061464,,,,,,,,249722,,,,,Group C,43942,43843, 20:30,Cape Town ,
88,3062010,,,0,0,NED,JPN,19 Jun 2010,,,southafrica2010,,,,,,Match 25,300111117,,,,,,,,249722,,,,,Group E,43960,43819, 13:30,Durban ,
89,34812,,,0,0,GHA,AUS,19 Jun 2010,,,southafrica2010,,,,,,Match 24,300061469,,,,,,,,249722,,,,,Group D,43860,43976, 16:00,Phokeng ,
90,3038074,,,0,0,CMR,DEN,19 Jun 2010,,,southafrica2010,,,,,,Match 26,300061475,,,,,,,,249722,,,,,Group E,43849,43941, 20:30,Tshwane/Pretoria ,
91,3026643,,,0,0,SVK,PAR,20 Jun 2010,,,southafrica2010,,,,,,Match 27,300061481,,,,,,,,249722,,,,,Group F,44002,43928, 13:30,Mangaung/Bloemfontein ,
92,38229,,,0,0,ITA,NZL,20 Jun 2010,,,southafrica2010,,,,,,Match 28,300061482,,,,,,,,249722,,,,,Group F,43954,43978, 16:00,Nelspruit ,
93,3084455,,,0,0,BRA,CIV,20 Jun 2010,,,southafrica2010,,,,,,Match 29,300061488,,,,,,,,249722,,,,,Group G,43924,43854, 20:30,Johannesburg ,
94,3063644,,,0,0,POR,PRK,21 Jun 2010,,,southafrica2010,,,,,,Match 30,300061487,,,,,,,,249722,,,,,Group G,43963,43821, 13:30,Cape Town ,
95,34872,,,0,0,CHI,SUI,21 Jun 2010,,,southafrica2010,,,,,,Match 31,300061493,,,,,,,,249722,,,,,Group H,43925,43971, 16:00,Nelson Mandela Bay/Port Elizabeth ,
96,3054386,,,0,0,ESP,HON,21 Jun 2010,,,southafrica2010,,,,,,Match 32,300061494,,,,,,,,249722,,,,,Group H,43969,43909, 20:30,Johannesburg ,
97,33425,,,0,0,MEX,URU,22 Jun 2010,,,southafrica2010,,,,,,Match 33,300061450,,,,,,,,249722,,,,,Group A,43911,43930, 16:00,Phokeng ,
98,39415,,,0,0,FRA,RSA,22 Jun 2010,,,southafrica2010,,,,,,Match 34,300061449,,,,,,,,249722,,,,,Group A,43946,43883, 16:00,Mangaung/Bloemfontein ,
99,3061874,,,0,0,NGA,KOR,22 Jun 2010,,,southafrica2010,,,,,,Match 35,300111115,,,,,,,,249722,,,,,Group B,43876,43822, 20:30,Durban ,
100,3038891,,,0,0,GRE,ARG,22 Jun 2010,,,southafrica2010,,,,,,Match 36,300061455,,,,,,,,249722,,,,,Group B,43949,43922, 20:30,Polokwane ,
101,36893,,,0,0,SVN,ENG,23 Jun 2010,,,southafrica2010,,,,,,Match 37,300061462,,,,,,,,249722,,,,,Group C,43968,43942, 16:00,Nelson Mandela Bay/Port Elizabeth ,
102,35827,,,0,0,USA,ALG,23 Jun 2010,,,southafrica2010,,,,,,Match 38,300061461,,,,,,,,249722,,,,,Group C,43921,43843, 16:00,Tshwane/Pretoria ,
103,3083391,,,0,0,GHA,GER,23 Jun 2010,,,southafrica2010,,,,,,Match 39,300061468,,,,,,,,249722,,,,,Group D,43860,43948, 20:30,Johannesburg ,
104,3037836,,,0,0,AUS,SRB,23 Jun 2010,,,southafrica2010,,,,,,Match 40,300061467,,,,,,,,249722,,,,,Group D,43976,1902465, 20:30,Nelspruit ,
105,53412,,,0,0,SVK,ITA,24 Jun 2010,,,southafrica2010,,,,,,Match 41,300061480,,,,,,,,249722,,,,,Group F,44002,43954, 16:00,Johannesburg ,
106,34850,,,0,0,PAR,NZL,24 Jun 2010,,,southafrica2010,,,,,,Match 42,300061479,,,,,,,,249722,,,,,Group F,43928,43978, 16:00,Polokwane ,
107,3027967,,,0,0,DEN,JPN,24 Jun 2010,,,southafrica2010,,,,,,Match 43,300061474,,,,,,,,249722,,,,,Group E,43941,43819, 20:30,Phokeng ,
108,3063093,,,0,0,CMR,NED,24 Jun 2010,,,southafrica2010,,,,,,Match 44,300061473,,,,,,,,249722,,,,,Group E,43849,43960, 20:30,Cape Town ,
109,62712,,,0,0,POR,BRA,25 Jun 2010,,,southafrica2010,,,,,,Match 45,300111111,,,,,,,,249722,,,,,Group G,43963,43924, 16:00,Durban ,
110,34763,,,0,0,PRK,CIV,25 Jun 2010,,,southafrica2010,,,,,,Match 46,300061486,,,,,,,,249722,,,,,Group G,43821,43854, 16:00,Nelspruit ,
111,3041958,,,0,0,CHI,ESP,25 Jun 2010,,,southafrica2010,,,,,,Match 47,300061491,,,,,,,,249722,,,,,Group H,43925,43969, 20:30,Tshwane/Pretoria ,
112,3028042,,,0,0,SUI,HON,25 Jun 2010,,,southafrica2010,,,,,,Match 48,300061492,,,,,,,,249722,,,,,Group H,43971,43909, 20:30,Mangaung/Bloemfontein ,
113,30597,,,0,0,URU,KOR,26 Jun 2010,,,southafrica2010,,,,,,Match 49,300061504,,,,,,,,249717,,,,,Round of 16,43930,43822, 16:00,Nelson Mandela Bay/Port Elizabeth ,
114,3034976,,,0,0,USA,GHA,26 Jun 2010,,,southafrica2010,,,,,,Match 50,300061503,,,,,,,,249717,,,,,Round of 16,43921,43860, 20:30,Phokeng ,
115,40510,,,0,0,GER,ENG,27 Jun 2010,,,southafrica2010,,,,,,Match 51,300061501,,,,,,,,249717,,,,,Round of 16,43948,43942, 16:00,Mangaung/Bloemfontein ,
116,3084377,,,0,0,ARG,MEX,27 Jun 2010,,,southafrica2010,,,,,,Match 52,300061502,,,,,,,,249717,,,,,Round of 16,43922,43911, 20:30,Johannesburg ,
117,61962,,,0,0,NED,SVK,28 Jun 2010,,,southafrica2010,,,,,,Match 53,300111113,,,,,,,,249717,,,,,Round of 16,43960,44002, 16:00,Durban ,
118,3054096,,,0,0,BRA,CHI,28 Jun 2010,,,southafrica2010,,,,,,Match 54,300061500,,,,,,,,249717,,,,,Round of 16,43924,43925, 20:30,Johannesburg ,
119,36742,,,0,0,PAR,JPN,29 Jun 2010,,,southafrica2010,,,,,,Match 55,300061497,,,,,,,,249717,,,,,Round of 16,43928,43819, 16:00,Tshwane/Pretoria ,
120,3062955,,,0,0,ESP,POR,29 Jun 2010,,,southafrica2010,,,,,,Match 56,300061498,,,,,,,,249717,,,,,Round of 16,43969,43963, 20:30,Cape Town ,
121,40186,,,0,0,NED,BRA,02 Jul 2010,,,southafrica2010,,,,,,Match 57,300061507,,,,,,,,249718,,,,,Quarter-finals,43960,43924, 16:00,Nelson Mandela Bay/Port Elizabeth ,
122,3084017,,,0,0,URU,GHA,02 Jul 2010,,,southafrica2010,,,,,,Match 58,300061508,,,,,,,,249718,,,,,Quarter-finals,43930,43860, 20:30,Johannesburg ,
123,64100,,,0,0,ARG,GER,03 Jul 2010,,,southafrica2010,,,,,,Match 59,300061505,,,,,,,,249718,,,,,Quarter-finals,43922,43948, 16:00,Cape Town ,
124,3055359,,,0,0,PAR,ESP,03 Jul 2010,,,southafrica2010,,,,,,Match 60,300061506,,,,,,,,249718,,,,,Quarter-finals,43928,43969, 20:30,Johannesburg ,
125,3062479,,,0,0,URU,NED,06 Jul 2010,,,southafrica2010,,,,,,Match 61,300061512,,,,,,,,249719,,,,,Semi-finals,43930,43960, 20:30,Cape Town ,
126,3060960,,,0,0,GER,ESP,07 Jul 2010,,,southafrica2010,,,,,,Match 62,300111114,,,,,,,,249719,,,,,Semi-finals,43948,43969, 20:30,Durban ,
127,3036254,,,0,0,URU,GER,10 Jul 2010,,,southafrica2010,,,,,,Match 63,300061510,,,,,,,,249720,,,,,Match for third place,43930,43948, 20:30,Nelson Mandela Bay/Port Elizabeth ,
128,3084490,,,0,0,NED,ESP,11 Jul 2010,,,southafrica2010,,,,,,Match 64,300061509,,,,,,,,249721,,,,,Final,43960,43969, 20:30,Johannesburg ,
129,3084490,,,0,0,NED,ESP,11 Jul 2010,,,southafrica2010,,,,,,Match 64,300061509,,,,,,,,249721,,,,,Final,43960,43969, 20:30,Johannesburg ,
130,66000,,,,,GER,CRC,09 Jun 2006,,,germany2006,,,,,,Match 1,97410001,,,,,,,,97410100,,,,,Group A,43948,43901, 18:00,Munich ,
131,52000,,,,,POL,ECU,09 Jun 2006,,,germany2006,,,,,,Match 2,97410002,,,,,,,,97410100,,,,,Group A,43962,43927, 21:00,Gelsenkirchen ,
132,48000,,,,,ENG,PAR,10 Jun 2006,,,germany2006,,,,,,Match 3,97410003,,,,,,,,97410100,,,,,Group B,43942,43928, 15:00,Frankfurt/Main ,
133,62959,,,,,TRI,SWE,10 Jun 2006,,,germany2006,,,,,,Match 4,97410004,,,,,,,,97410100,,,,,Group B,43920,43970, 18:00,Dortmund ,
